SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
162,6,0,80000,0,0,0,A,Torrance city,California,145438,145434,145498,146371,147082,147755,148152,148475
162,6,0,80238,0,0,0,A,Tracy city,California,82922,83101,83335,84108,84629,84857,85806,87075
162,6,0,80448,0,0,0,A,Trinidad city,California,367,367,367,366,362,359,357,357
162,6,0,80588,0,0,0,A,Truckee town,California,16180,16164,16166,16164,16108,16118,16268,16299
162,6,0,80644,0,0,0,A,Tulare city,California,59278,59312,59465,59918,60844,61176,61759,62315
162,6,0,80686,0,0,0,A,Tulelake city,California,1010,1010,1012,1006,997,990,989,994
162,6,0,80812,0,0,0,A,Turlock city,California,68549,68549,68709,69180,69776,70446,71220,72292
162,6,0,80854,0,0,0,A,Tustin city,California,75540,75314,75506,76365,77828,78474,80590,80583
162,6,0,80994,0,0,0,A,Twentynine Palms city,California,25048,25048,25107,25400,25690,25790,25883,26025
162,6,0,81134,0,0,0,A,Ukiah city,California,16075,16075,16020,15940,15944,15900,15943,15917
162,6,0,81204,0,0,0,A,Union City city,California,69516,69524,69659,70691,71784,72743,73705,74494
162,6,0,81344,0,0,0,A,Upland city,California,73732,73732,73927,74605,75166,75526,75964,76443
162,6,0,81554,0,0,0,A,Vacaville city,California,92428,92425,92581,93313,93801,94258,95779,96803
162,6,0,81666,0,0,0,A,Vallejo city,California,115942,115940,116187,116855,117823,118893,120135,121253
162,6,0,82422,0,0,0,A,Vernon city,California,112,112,112,113,113,114,114,114
162,6,0,82590,0,0,0,A,Victorville city,California,115903,115921,116344,118109,120202,121241,121775,122225
162,6,0,82744,0,0,0,A,Villa Park city,California,5812,5822,5832,5893,5933,5967,5966,5964
162,6,0,82954,0,0,0,A,Visalia city,California,124442,124457,124826,125803,126754,127744,129042,130104
162,6,0,82996,0,0,0,A,Vista city,California,93834,93854,94103,95180,96261,97266,98157,100890
162,6,0,83332,0,0,0,A,Walnut city,California,29172,29172,29210,29532,29949,30078,30143,30237
162,6,0,83346,0,0,0,A,Walnut Creek city,California,64173,64174,64354,64916,65650,66984,67690,68910
162,6,0,83542,0,0,0,A,Wasco city,California,25545,25552,25688,25866,25512,25975,26297,26279
162,6,0,83612,0,0,0,A,Waterford city,California,8456,8456,8467,8504,8563,8618,8739,8824
162,6,0,83668,0,0,0,A,Watsonville city,California,51199,51199,51281,51593,51915,52480,53041,53628
162,6,0,83850,0,0,0,A,Weed city,California,2967,2967,2982,2984,2940,2887,2717,2556
162,6,0,84200,0,0,0,A,West Covina city,California,106098,106125,106185,106971,107497,107952,108231,108484
162,6,0,84410,0,0,0,A,West Hollywood city,California,34399,34398,34420,34624,34808,35343,35781,36222
162,6,0,84438,0,0,0,A,Westlake Village city,California,8270,8303,8309,8366,8430,8467,8487,8507
162,6,0,84550,0,0,0,A,Westminster city,California,89701,89614,89812,90871,91515,92028,92044,92114
162,6,0,84606,0,0,0,A,Westmorland city,California,2225,2223,2228,2254,2261,2263,2271,2267
162,6,0,84816,0,0,0,A,West Sacramento city,California,48744,48744,48859,49196,49670,50162,51886,52721
162,6,0,85012,0,0,0,A,Wheatland city,California,3456,3480,3489,3497,3507,3492,3499,3725
162,6,0,85292,0,0,0,A,Whittier city,California,85331,85317,85358,85820,86285,86795,87088,87438
162,6,0,85446,0,0,0,A,Wildomar city,California,32176,32220,32440,32981,33357,33820,35367,35632
162,6,0,85586,0,0,0,A,Williams city,California,5123,5123,5136,5147,5154,5184,5170,5196
162,6,0,85600,0,0,0,A,Willits city,California,4888,4890,4888,4854,4849,4840,4852,4861
162,6,0,85684,0,0,0,A,Willows city,California,6166,6166,6148,6154,6108,6095,6108,6069
162,6,0,85922,0,0,0,A,Windsor town,California,26801,26795,26821,26916,27050,27230,27361,27464
162,6,0,86034,0,0,0,A,Winters city,California,6624,6624,6623,6844,6886,6917,6946,7034
162,6,0,86300,0,0,0,A,Woodlake city,California,7279,7279,7302,7324,7362,7614,7649,7654
162,6,0,86328,0,0,0,A,Woodland city,California,55468,55473,55552,55797,56334,56815,57480,58567
162,6,0,86440,0,0,0,A,Woodside town,California,5287,5287,5296,5365,5426,5485,5532,5561
162,6,0,86832,0,0,0,A,Yorba Linda city,California,64234,64193,64446,65760,66529,67136,67764,67973
162,6,0,86930,0,0,0,A,Yountville city,California,2933,2933,2953,2985,2965,2972,3004,3017
162,6,0,86944,0,0,0,A,Yreka city,California,7765,7765,7791,7755,7662,7570,7560,7597
162,6,0,86972,0,0,0,A,Yuba City city,California,64925,65631,65675,65486,65477,65893,66318,66941
162,6,0,87042,0,0,0,A,Yucaipa city,California,51367,51371,51519,52067,52459,52802,53043,53328
162,6,0,87056,0,0,0,A,Yucca Valley town,California,20700,20700,20751,20947,21099,21179,21463,21600
